base,quiote,pair_name,min_price,base_precision,qty_step_size,price_tick_size,min_notional,min_qty
eth,btc,ethbtc,0.00001000,8,0.00010000,0.00001000,0.00000001,0.00010000
ltc,btc,ltcbtc,0.00000100,8,0.00100000,0.00000100,0.00000001,0.00100000
bnb,btc,bnbbtc,0.00000100,8,0.00100000,0.00000100,0.00000001,0.00100000
bnb,eth,bnbeth,0.00010000,8,0.00100000,0.00010000,0.00000001,0.00100000
btc,usdt,btcusdt,0.01000000,8,0.00001000,0.01000000,0.00000001,0.00001000
eth,usdt,ethusdt,0.01000000,8,0.00010000,0.01000000,0.00000001,0.00010000
xrp,btc,xrpbtc,0.00000001,8,1.00000000,0.00000001,0.00000001,1.00000000
xrp,eth,xrpeth,0.00000010,8,1.00000000,0.00000010,0.00000001,1.00000000
bnb,usdt,bnbusdt,0.10000000,8,0.00100000,0.10000000,0.00000001,0.00100000
ada,btc,adabtc,0.00000001,8,0.10000000,0.00000001,0.00000001,0.10000000
ada,eth,adaeth,0.00000010,8,0.10000000,0.00000010,0.00000001,0.10000000
ltc,eth,ltceth,0.00001000,8,0.00100000,0.00001000,0.00000001,0.00100000
ltc,usdt,ltcusdt,0.01000000,8,0.00100000,0.01000000,0.00000001,0.00100000
ltc,bnb,ltcbnb,0.00010000,8,0.00100000,0.00010000,0.00000001,0.00100000
ada,usdt,adausdt,0.00010000,8,0.10000000,0.00010000,0.00000001,0.10000000
ada,bnb,adabnb,0.00000100,8,0.10000000,0.00000100,0.00000001,0.10000000
xrp,usdt,xrpusdt,0.00010000,8,1.00000000,0.00010000,0.00000001,1.00000000
xrp,bnb,xrpbnb,0.00000100,8,1.00000000,0.00000100,0.00000001,1.00000000
matic,bnb,maticbnb,0.00000100,8,0.10000000,0.00000100,0.00000001,0.10000000
matic,btc,maticbtc,0.00000001,8,0.10000000,0.00000001,0.00000001,0.10000000
matic,usdt,maticusdt,0.00010000,8,0.10000000,0.00010000,0.00000001,0.10000000
doge,btc,dogebtc,0.00000001,8,1.00000000,0.00000001,0.00000001,1.00000000
doge,usdt,dogeusdt,0.00001000,8,1.00000000,0.00001000,0.00000001,1.00000000
bnb,busd,bnbbusd,0.10000000,8,0.00100000,0.10000000,0.00000001,0.00100000
btc,busd,btcbusd,0.01000000,8,0.00001000,0.01000000,0.00000001,0.00001000
busd,usdt,busdusdt,0.00010000,8,1.00000000,0.00010000,0.00000001,1.00000000
xrp,busd,xrpbusd,0.00010000,8,1.00000000,0.00010000,0.00000001,1.00000000
eth,busd,ethbusd,0.01000000,8,0.00010000,0.01000000,0.00000001,0.00010000
ltc,busd,ltcbusd,0.01000000,8,0.00100000,0.01000000,0.00000001,0.00100000
stx,bnb,stxbnb,0.00000100,8,0.10000000,0.00000100,0.00000001,0.10000000
stx,btc,stxbtc,0.00000001,8,0.10000000,0.00000001,0.00000001,0.10000000
stx,usdt,stxusdt,0.00010000,8,0.10000000,0.00010000,0.00000001,0.10000000
ada,busd,adabusd,0.00010000,8,0.10000000,0.00010000,0.00000001,0.10000000
sol,bnb,solbnb,0.00010000,8,0.01000000,0.00010000,0.00000001,0.01000000
sol,btc,solbtc,0.00000010,8,0.01000000,0.00000010,0.00000001,0.01000000
sol,usdt,solusdt,0.01000000,8,0.01000000,0.01000000,0.00000001,0.01000000
sol,busd,solbusd,0.01000000,8,0.01000000,0.01000000,0.00000001,0.01000000
matic,busd,maticbusd,0.00010000,8,0.10000000,0.00010000,0.00000001,0.10000000
doge,busd,dogebusd,0.00001000,8,1.00000000,0.00001000,0.00000001,1.00000000
dot,bnb,dotbnb,0.00001000,8,0.01000000,0.00001000,0.00000001,0.01000000
dot,btc,dotbtc,0.00000010,8,0.01000000,0.00000010,0.00000001,0.01000000
dot,busd,dotbusd,0.00100000,8,0.01000000,0.00100000,0.00000001,0.01000000
dot,usdt,dotusdt,0.00100000,8,0.01000000,0.00100000,0.00000001,0.01000000
cfx,btc,cfxbtc,0.00000001,8,1.00000000,0.00000001,0.00000001,1.00000000
cfx,busd,cfxbusd,0.00010000,8,1.00000000,0.00010000,0.00000001,1.00000000
cfx,usdt,cfxusdt,0.00010000,8,1.00000000,0.00010000,0.00000001,1.00000000
shib,usdt,shibusdt,0.00000001,2,1.00,0.00000001,0.00000001,1.00
shib,busd,shibbusd,0.00000001,2,1.00,0.00000001,0.00000001,1.00
agix,btc,agixbtc,0.00000001,8,1.00000000,0.00000001,0.00000001,1.00000000
stx,busd,stxbusd,0.00010000,8,0.10000000,0.00010000,0.00000001,0.10000000
sol,eth,soleth,0.00001000,8,0.00100000,0.00001000,0.00000001,0.00100000
shib,doge,shibdoge,0.00000010,2,1.00,0.00000010,0.00000001,1.00
dot,eth,doteth,0.00000100,8,0.01000000,0.00000100,0.00000001,0.01000000
matic,eth,maticeth,0.00000010,8,0.10000000,0.00000010,0.00000001,0.10000000
agix,busd,agixbusd,0.00001000,8,1.00000000,0.00001000,0.00000001,1.00000000
apt,btc,aptbtc,0.00000001,8,0.01000000,0.00000001,0.00000001,0.01000000
apt,usdt,aptusdt,0.00010000,8,0.01000000,0.00010000,0.00000001,0.01000000
apt,busd,aptbusd,0.00010000,8,0.01000000,0.00010000,0.00000001,0.01000000
agix,usdt,agixusdt,0.00001000,8,1.00000000,0.00001000,0.00000001,1.00000000
apt,eth,apteth,0.00000100,8,0.01000000,0.00000100,0.00000001,0.01000000
